path,title,description
/about/,"About - HeroBlog - GatsbyJS starter","HeroBlog is a GatsbyJS starter."
/front-end-dev/,"Front-end web development with Greg - HeroBlog - GatsbyJS starter","HeroBlog is a GatsbyJS starter."
/privacy/,"Privacy Policy - HeroBlog - GatsbyJS starter","HeroBlog is a GatsbyJS starter."
/starters/,"Other GatsbyJS starters - HeroBlog - GatsbyJS starter","HeroBlog is a GatsbyJS starter."
/success/,"Success - HeroBlog - GatsbyJS starter","HeroBlog is a GatsbyJS starter."
/terms/,"Terms and Conditions - HeroBlog - GatsbyJS starter","HeroBlog is a GatsbyJS starter."
